post_id,title,category,score,num_comments,author,collected_at
47765374,Show HN Kontext CLI  Credential broker for AI coding agents in Go,technology,10,0,mc-serious,2026-04-14 15:40:02
47762864,Backblaze has stopped backing up your data,technology,541,340,rrreese,2026-04-14 15:40:02
47766611,The AI School Bus Camera Company Blanketing America in Tickets,technology,21,19,jimt1234,2026-04-14 15:40:03
47761625,MultiAgentic Software Development Is a Distributed Systems Problem,technology,82,37,tie-in,2026-04-14 15:40:04
47761723,MOS tech 6502 8bit microprocessor in pure SQL powered by Postgres,technology,57,8,adunk,2026-04-14 15:40:04
47705390,Lumina  a statically typed webnative language for JavaScript and WASM,technology,41,17,light_ideas,2026-04-14 15:40:05
47724408,The Great Majority Body Snatching and Burial Reform in 19thCentury Britain,technology,15,1,apollinaire,2026-04-14 15:40:05
47728970,Write less code be more responsible,technology,137,87,orhunp_,2026-04-14 15:40:05
47766330,To teach in the era of ChatGPT is to know pain,technology,5,1,ckemere,2026-04-14 15:40:05
47708457,Rust Threads on the GPU,technology,101,31,PaulHoule,2026-04-14 15:40:06
47753689,Building a CLI for all of Cloudflare,technology,320,104,soheilpro,2026-04-14 15:40:06
47758347,NDayBench  Can LLMs find real vulnerabilities in real codebases,technology,86,28,mufeedvh,2026-04-14 15:40:06
47729046,Air Powered Segment Display video,technology,123,11,ProfDreamer,2026-04-14 15:40:06
47764164,The Case Against Gameplay Loops,technology,43,43,coinfused,2026-04-14 15:40:06
47756772,GAIA  Opensource framework for building AI agents that run on local hardware,technology,137,33,galaxyLogic,2026-04-14 15:40:07
47766430,War as a Pretext Gulf States Are Tightening the Screws on SpeechAgain,technology,3,0,hn_acker,2026-04-14 15:40:07
47759292,The AI revolution in math has arrived,technology,95,49,sonabinu,2026-04-14 15:40:08
47766164,90 of CEOs Say AI Changed Nothing The Other 10 Have a PR Team,technology,27,12,mooreds,2026-04-14 15:40:09
47750872,Servo is now available on cratesio,technology,460,147,ffin,2026-04-14 15:40:09
47755209,Btrees and database indexes 2024,technology,111,41,tosh,2026-04-14 15:40:09
